mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288731418000,37.763325,-122.393081,-4.000000,50.000000,-0.081722,2.301839,-6.891896,0.932256,0.889377,0.811288,0.889699,0.857564,0.815169
1288731421000,37.763094,-122.393044,-3.000000,23.000000,-0.040861,1.947710,-8.853226,0.973577,0.837775,0.957928,0.950246,0.869974,0.800664
1288731426000,37.762896,-122.392995,-3.000000,4.000000,0.272407,0.299648,-10.501288,0.960481,0.801161,0.899035,0.905564,0.869442,0.871164
1288731430000,37.762821,-122.392920,-3.000000,27.000000,0.272407,-0.994285,-6.592248,0.928650,0.800686,0.808864,0.879391,0.828080,0.847414
1288731433000,37.762778,-122.392598,-3.000000,44.000000,-1.144109,-0.531194,-11.032481,0.918485,0.887523,0.807906,0.963043,0.835175,0.849677
1288731436000,37.762821,-122.392110,-4.000000,460.000000,0.190685,-0.531194,-10.691973,0.850086,0.999080,0.862218,0.822547,0.945666,0.952029
1288731440000,37.762874,-122.391375,-11.000000,457.000000,0.040861,1.076007,-9.534244,0.879613,0.825412,0.974337,0.846704,0.980854,0.923339
1288731443000,37.762912,-122.390839,-16.000000,54.000000,-1.688923,-1.035146,-8.689782,0.857820,0.806578,0.935063,0.922032,0.898209,0.831309
1288731446000,37.762944,-122.390345,-17.000000,459.000000,-1.116868,4.018003,-5.325556,0.868143,0.908995,0.972745,0.938491,0.832534,0.953260
1288731449000,37.762960,-122.389981,-18.000000,460.000000,0.653777,5.475380,-7.205164,0.898065,0.994874,0.992429,0.984707,0.999873,0.961685
1288731454000,37.762976,-122.389712,-18.000000,25.000000,0.531194,-3.255263,-11.917805,0.989750,0.814033,0.928031,0.809357,0.875933,0.825740
1288731457000,37.763057,-122.389326,-18.000000,36.000000,0.081722,0.422231,-10.147159,0.842457,0.818871,0.995534,0.879016,0.861798,0.980118
1288731460000,37.763084,-122.389047,-18.000000,21.000000,0.721878,0.381370,-11.604536,0.989909,0.985209,0.914699,0.922052,0.852662,0.995610
1288731464000,37.763094,-122.388929,-19.000000,0.000000,-0.149824,0.272407,-9.343558,0.862610,0.865110,0.913351,0.829549,0.973387,0.873268
1288731548000,37.763078,-122.388875,-20.000000,22.000000,-0.340509,-2.301839,-8.008764,0.951824,0.900366,0.916594,0.801267,0.952883,0.955590
1288731552000,37.763094,-122.388425,-20.000000,460.000000,0.721878,3.146300,-6.170018,0.824208,0.981976,0.899363,0.937700,0.814591,0.879486
1288731555000,37.763110,-122.388071,-21.000000,32.000000,0.912563,2.683208,-9.193735,0.871505,0.893145,0.912885,0.845487,0.971440,0.809823
1288731558000,37.763105,-122.387915,-21.000000,14.000000,-0.463092,-0.572055,1.076007,0.917639,0.959612,0.823842,0.947012,0.861294,0.908853
1288731561000,37.763003,-122.387867,-20.000000,13.000000,0.531194,-0.381370,-9.152874,0.817284,0.936794,0.891267,0.966834,0.845556,0.882294
1288731566000,37.762563,-122.387797,-19.000000,38.000000,0.531194,-0.503953,-10.188020,0.858729,0.970616,0.884179,0.855592,0.843761,0.960891
1288731569000,37.762182,-122.387770,-20.000000,48.000000,-0.190685,0.190685,-11.264028,0.894579,0.806962,0.868449,0.850829,0.886856,0.937130
1288731572000,37.761775,-122.387727,-21.000000,50.000000,0.190685,1.688923,-7.504812,0.953544,0.919504,0.891821,0.855536,0.859693,0.887747
